CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue,PercentChange5Years,PerThousandPopulation
4805026,Drumheller,2019,All Families Income (Median),$,94511.74797,0.04137
4808012,Sylvan Lake,2019,All Families Income (Median),$,110050.00000,-0.01969
4801014,Bow Island,2019,All Families Income (Median),$,84250.00000,0.10477
4807049,Wainwright No. 61,2019,All Families Income (Median),$,103780.00000,0.12792
4805011,Arrowwood,2019,All Families Income (Median),$,80960.00000,0.05403
4807029,Donalda,2019,All Families Income (Median),$,69920.00000,-0.00837
4807036,Forestburg,2019,All Families Income (Median),$,102530.00000,-0.08061
4807008,Amisk,2019,All Families Income (Median),$,86730.00000,0.10795
4807012,Coronation,2019,All Families Income (Median),$,92840.00000,0.01854
4802039,Bassano,2019,All Families Income (Median),$,74670.00000,-0.03726
4803002,Magrath,2019,All Families Income (Median),$,80600.00000,0.10335
4802031,Newell County,2019,All Families Income (Median),$,92286.90987,0.04592
4808034,Alix,2019,All Families Income (Median),$,90680.00000,-0.03573
4808811,Samson 137,2019,All Families Income (Median),$,33750.00000,0.48810
4813012,Alberta Beach,2019,All Families Income (Median),$,87090.00000,0.04312
4810002,Bashaw,2019,All Families Income (Median),$,80250.00000,0.02990
4813028,Westlock County,2019,All Families Income (Median),$,84816.17886,-0.00378
4802008,Raymond,2019,All Families Income (Median),$,89330.00000,0.14805
4802011,Lethbridge County,2019,All Families Income (Median),$,83845.97403,0.05096
4804001,Acadia No. 34,2019,All Families Income (Median),$,92390.00000,0.01751
4804006,Empress,2019,All Families Income (Median),$,61410.00000,-0.12571
4804016,Cereal,2019,All Families Income (Median),$,91390.00000,0.08077
4805004,Champion,2019,All Families Income (Median),$,84550.00000,0.09181
4805008,Lomond,2019,All Families Income (Median),$,77310.00000,0.14313
4805049,Trochu,2019,All Families Income (Median),$,95860.00000,0.16363
4806001,Foothills No. 31,2019,All Families Income (Median),$,112418.67880,-0.27096
4807002,Provost,2019,All Families Income (Median),$,111520.00000,-0.02798
4807006,Hughenden,2019,All Families Income (Median),$,92910.00000,0.04440
4806008,Longview,2019,All Families Income (Median),$,60157.03297,0.10682
4807046,Lougheed,2019,All Families Income (Median),$,88020.00000,-0.07396
4805018,Strathmore,2019,All Families Income (Median),$,101670.00000,0.05161
4805019,Hussar,2019,All Families Income (Median),$,87680.00000,0.00898
4808013,Norglenwold,2019,All Families Income (Median),$,134510.00000,0.02002
4802001,Warner County No. 5,2019,All Families Income (Median),$,76173.21101,0.06869
4802002,Coutts,2019,All Families Income (Median),$,80180.00000,0.23259
4802004,Milk River,2019,All Families Income (Median),$,82060.00000,0.03690
4802006,Warner,2019,All Families Income (Median),$,62610.00000,-0.01957
4807019,Stettler County No. 6,2019,All Families Income (Median),$,90727.67442,-0.02962
4807021,Big Valley,2019,All Families Income (Median),$,82480.00000,-0.05855
4807022,Gadsby,2019,All Families Income (Median),$,62570.00000,-0.35462
4807024,Botha,2019,All Families Income (Median),$,90270.00000,-0.03133
4808008,Innisfail,2019,All Families Income (Median),$,91880.00000,0.01660
4807031,Flagstaff County,2019,All Families Income (Median),$,93516.36364,-0.00944
